DrawDate,B1,B2,B3,B4,B5,B6,BB
06-Jan-21,54,36,2,8,51,52,10
09-Jan-21,9,38,21,30,23,35,53
13-Jan-21,1,42,8,18,16,12,4
16-Jan-21,48,38,45,3,53,15,27
20-Jan-21,13,5,7,57,25,3,37
23-Jan-21,1,52,49,6,45,25,56
27-Jan-21,34,45,35,30,50,22,51
30-Jan-21,36,51,4,28,31,55,42
03-Feb-21,17,9,21,4,46,26,12
06-Feb-21,27,32,46,28,39,52,6
10-Feb-21,29,1,33,15,49,42,54
13-Feb-21,42,50,37,44,16,15,48
17-Feb-21,39,6,8,26,5,20,1
20-Feb-21,36,3,18,56,24,16,10
24-Feb-21,1,34,17,9,18,16,13
27-Feb-21,4,49,45,33,39,36,20
03-Mar-21,2,54,40,23,3,8,52
06-Mar-21,47,29,16,17,52,56,15
10-Mar-21,26,42,21,5,1,9,17
13-Mar-21,8,29,6,17,11,44,20
17-Mar-21,28,26,36,58,16,7,9
20-Mar-21,12,36,24,34,51,15,21
24-Mar-21,23,50,40,2,3,27,30
27-Mar-21,18,22,26,49,5,3,29
31-Mar-21,6,58,4,49,56,13,12
03-Apr-21,40,32,45,8,2,28,5
07-Apr-21,51,40,57,12,38,58,29
10-Apr-21,50,20,26,48,49,25,30
14-Apr-21,48,57,12,20,6,52,34
17-Apr-21,18,7,23,57,8,21,4
21-Apr-21,39,4,34,32,6,14,46
24-Apr-21,29,16,38,32,30,24,1
28-Apr-21,59,4,48,1,57,27,5
01-May-21,7,40,31,34,32,10,14
05-May-21,56,27,40,55,8,34,43
08-May-21,46,31,12,23,10,37,15
12-May-21,17,40,51,23,52,10,20
15-May-21,57,32,27,19,39,6,50
19-May-21,57,50,58,36,53,18,22
22-May-21,9,20,41,46,43,48,7
26-May-21,33,51,49,36,28,45,48
29-May-21,10,55,46,36,1,16,44
02-Jun-21,15,17,53,59,33,1,41
05-Jun-21,3,6,57,39,46,33,17
09-Jun-21,24,15,43,49,9,34,32
12-Jun-21,11,36,27,16,52,9,50
16-Jun-21,48,22,36,28,6,53,13
19-Jun-21,38,12,18,21,54,44,14
23-Jun-21,14,53,50,15,33,4,16
26-Jun-21,24,37,53,41,39,14,19
30-Jun-21,41,34,38,12,40,27,32
03-Jul-21,1,31,47,29,12,27,23
